anio,entidad_federativa,municipio,localidad,cct,nombre,ambito,nivel,anio_creacion,antiguedad,alimentacion_agua,bebederos,descarga_agua_residual,con_luz,telefonia_fija,internet,nivel_accesibilidad,wc_alumnos,wc_alumnas,wc_discapacitados,wc_docentes,condicion_fis_wc,num_aulas,estructuras_atipicas,num_edificios,plan_proteccion_civil,mesa_binaria,mesa,silla,silla_paleta,mesa_banco,mesa_banco_binario,pizarron,computadora,laptop,cancha_deportiva,cubierta_techumbre_ext,fn_nombre,entidad_federativa_etq
2022,GUERRERO,XALPATLÁHUAC,YERBA SANTA,12DCC0371N,SUCESO 7 DE NOVIEMBRE,RURAL,PREESCOLAR,1986,31 A 40 AÑOS,POZO,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,1,0,BUENAS,1 A 2 AULAS,CON ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,51,0,126,0,0,0,4,0,0,SIN CANCHA,CON TECHUMBRE,,Guerrero
2022,GUERRERO,ZAPOTITLÁN TABLAS,ZAPOTITLÁN TABLAS,12DCC0071Q,CENTRO DE CASTELLANIZACION,RURAL,PREESCOLAR,1993,21 A 30 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,2,2,0,0,BUENAS,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,80,140,0,0,0,8,1,0,CON CANCHA,CON TECHUMBRE,,Guerrero
2022,GUERRERO,TLACOAPA,PLAN DE GUADALUPE,12DCC0553W,UNION Y PROGRESO,RURAL,PREESCOLAR,1982,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,1,0,BUENAS,1 A 2 AULAS,CON ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,8,0,14,0,0,0,1,1,0,SIN CANCHA,CON TECHUMBRE,,Guerrero
2022,GUERRERO,TLACOAPA,TENAMAZAPA,12DCC0566Z,TIERRA Y LIBERTAD,RURAL,PREESCOLAR,1983,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,1,0,BUENAS,3 A 5 AULAS,SIN ESTRUCTURA ATÍPICA,CON 5 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,58,1,104,0,0,0,5,0,1,SIN CANCHA,SIN TECHUMBRE,,Guerrero
2022,GUERRERO,SAN MARCOS,SAN MARCOS,12DES0029Z,DEFENSORES DE LA REPUBLICA,URBANO,SECUNDARIA,1977,41 A 50 AÑOS,POZO,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,3,5,2,0,BUENAS,12 A 17 AULAS,CON ESTRUCTURA ATÍPICA,MÁS DE 10 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,0,30,35,583,0,0,26,8,2,CON CANCHA,CON TECHUMBRE,,Guerrero
2022,ZACATECAS,GUADALUPE,GUADALUPE,32DPR2063O,FELIPE ANGELES RAMIREZ,URBANO,PRIMARIA,1991,31 A 40 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,5,6,0,0,BUENAS,12 A 17 AULAS,CON ESTRUCTURA ATÍPICA,CON 8 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,75,180,380,0,0,0,14,0,0,CON CANCHA,CON TECHUMBRE,,Zacatecas
2022,GUERRERO,ATOYAC DE ÁLVAREZ,BOCA DE ARROYO,12DPR0518W,VICENTE GUERRERO,RURAL,PRIMARIA,2002,11 A 20 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,1,1,0,0,BUENAS,3 A 5 AULAS,CON ESTRUCTURA ATÍPICA,CON 3 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,5,0,18,0,0,4,0,0,SIN CANCHA,SIN TECHUMBRE,,Guerrero
2022,TABASCO,CUNDUACÁN,JOSÉ MARÍA PINO SUÁREZ,27EJN0134B,BERTHA GUERRERO GARCIA,RURAL,PREESCOLAR,1998,21 A 30 AÑOS,POZO,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,CON INTERNET,MÍNIMA REQUERIDA,2,2,0,0,REGULARES,1 A 2 AULAS,SIN ESTRUCTURA ATÍPICA,CON 1 EDIFICIO,SIN PLAN DE PROTECCIÓN CIVIL,20,2,45,0,0,0,2,0,0,SIN CANCHA,CON TECHUMBRE,,Tabasco
2022,GUERRERO,TECOANAPA,EL GUAYABO,12DPR0259Z,BENITO JUAREZ,RURAL,PRIMARIA,1980,41 A 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,FOSA SÉPTICA,CON LUZ,SIN TELÉFONO,SIN INTERNET,NULA,3,4,0,1,REGULARES,6 A 11 AULAS,CON ESTRUCTURA ATÍPICA,CON 4 EDIFICIOS,SIN PLAN DE PROTECCIÓN CIVIL,0,0,0,90,0,0,6,5,0,CON CANCHA,SIN TECHUMBRE,,Guerrero
2022,GUERRERO,TLAPA DE COMONFORT,TLAPA DE COMONFORT,12DJN0123V,ANGEL MIRANDA BASURTO,RURAL,PREESCOLAR,1953,MÁS DE 50 AÑOS,RED MUNICIPAL,SIN BEBEDERO,COLECTOR MUNICIPAL,CON LUZ,SIN TELÉFONO,SIN INTERNET,MÍNIMA REQUERIDA,5,5,1,2,BUENAS,6 A 11 AULAS,SIN ESTRUCTURA ATÍPICA,CON 2 EDIFICIOS,CON PLAN DE PROTECCIÓN CIVIL,0,4,0,0,0,0,0,0,0,SIN CANCHA,SIN TECHUMBRE,,Guerrero
